instacart_product_id,item_compound_id,name,brand,size,price,retailer,product_url,evergreen_url
105690093,items_141193-105690093,Purely Elizabeth Almond,purely elizabeth,1 each,,,https://www.instacart.com/products/105690093-purely-eliza-almond-8-oz,105690093-purely-eliza-almond-8-oz
53667,items_8574-53667,"Purely Elizabeth Ancient Grain Granola, Blueberry Hemp, Recipe No. 04",purely elizabeth,12 oz,,,https://www.instacart.com/products/53667-purely-elizabeth-ancient-grain-granola-blueberry-hemp-12-oz,53667-purely-elizabeth-ancient-grain-granola-blueberry-hemp-12-oz
3278931,items_151204-3278931,"Purely Elizabeth Banana Nut Butter, Grain-Free Keto Granola",purely elizabeth,8 oz,,,https://www.instacart.com/products/3278931-purely-elizabeth-grain-free-granola-banana-nut-butter-8-oz,3278931-purely-elizabeth-grain-free-granola-banana-nut-butter-8-oz
26776183,items_25677-26776183,Purely Elizabeth Banana Nut Superfood Oatmeal,purely elizabeth,1.52 oz,,,https://www.instacart.com/products/26776183-purely-elizabeth-banana-nut-with-prebiotic-fiber-superfood-oatmeal-1-52-oz,26776183-purely-elizabeth-banana-nut-with-prebiotic-fiber-superfood-oatmeal-1-52-oz
28123270,items_172100-28123270,Purely Elizabeth Berry Crisp Ancient Grain Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/28123270-purely-elizabeth-berry-crisp-ancient-grain-granola-8-oz,28123270-purely-elizabeth-berry-crisp-ancient-grain-granola-8-oz
20114612,items_25677-20114612,Purely Elizabeth Blueberry Walnut Superfood Oatmeal With Collagen,purely elizabeth,2 oz,,,https://www.instacart.com/products/20114612-purely-elizabeth-collagen-protein-oats-blueberry-walnut-2-oz,20114612-purely-elizabeth-collagen-protein-oats-blueberry-walnut-2-oz
75086264,items_25677-75086264,Purely Elizabeth Chocolate Chip Banana Bread Protein Instant Oatmeal 5 Pack,purely elizabeth,5 ct,,,https://www.instacart.com/products/75086264-purely-elizabeth-protein-chocolate-chip-banana-bread-instant-oatmeal,75086264-purely-elizabeth-protein-chocolate-chip-banana-bread-instant-oatmeal
41662372,items_8574-41662372,Purely Elizabeth Chocolate Chip Cookie Granola,purely elizabeth,11 oz,,,https://www.instacart.com/products/41662372-purely-elizabeth-cookie-granola-chocolate-chip-1-bags,41662372-purely-elizabeth-cookie-granola-chocolate-chip-1-bags
40043214,items_151204-40043214,Purely Elizabeth Chocolate Chip Cookie Granola,purely elizabeth,9 oz,,,https://www.instacart.com/products/40043214-purely-elizabeth-chocolate-chip-cookie-granola-9-0-oz,40043214-purely-elizabeth-chocolate-chip-cookie-granola-9-0-oz
50557960,items_5128-50557960,Purely Elizabeth Chocolate Chip Cookie Granola,purely elizabeth,22 oz,,,https://www.instacart.com/products/50557960-purely-elizabeth-chocolate-chip-cookie-granola-22-oz,50557960-purely-elizabeth-chocolate-chip-cookie-granola-22-oz
17633601,items_32481-17633601,"Purely Elizabeth Chocolate Peanut Butter, Ancient Grain Granola",purely elizabeth,10 oz,,,https://www.instacart.com/products/17633601-purely-elizabeth-ancient-grain-granola-grain-free-chocolate-peanut-butter-10-oz,17633601-purely-elizabeth-ancient-grain-granola-grain-free-chocolate-peanut-butter-10-oz
26778101,items_25677-26778101,Purely Elizabeth Cinnamon Oatmeal,purely elizabeth,1.52 oz,,,https://www.instacart.com/products/26778101-purely-elizabeth-classic-cinnamon-with-prebiotic-fiber-superfood-oatmeal-1-52-oz,26778101-purely-elizabeth-classic-cinnamon-with-prebiotic-fiber-superfood-oatmeal-1-52-oz
20110808,items_141193-20110808,"Purely Elizabeth Cinnamon Peanut Butter, Grain-Free Keto Granola, with MCT Oil",purely elizabeth,8 oz,,,https://www.instacart.com/products/20110808-purely-elizabeth-granola-grain-free-cinnamon-peanut-butter-8-oz,20110808-purely-elizabeth-granola-grain-free-cinnamon-peanut-butter-8-oz
53669,items_34057-53669,"Purely Elizabeth Cranberry Pecan, Ancient Grain Granola",purely elizabeth,12 oz,,,https://www.instacart.com/products/53669-purely-elizabeth-ancient-grain-granola-cranberry-pecan-12-oz,53669-purely-elizabeth-ancient-grain-granola-cranberry-pecan-12-oz
26791559,items_7243-26791559,"Purely Elizabeth Dark Chocolate Chunk Oatmeal Multipack, Prebiotic Fiber",purely elizabeth,1.52 oz,,,https://www.instacart.com/products/26791559-purely-elizabeth-dark-chocolate-chunk-with-prebiotic-fiber-superfood-oatmeal,26791559-purely-elizabeth-dark-chocolate-chunk-with-prebiotic-fiber-superfood-oatmeal
41662549,items_25677-41662549,Purely Elizabeth Double Chocolate Cookie Granola,purely elizabeth,11 oz,,,https://www.instacart.com/products/41662549-purely-elizabeth-double-chocolate-cookie-granola-11-oz,41662549-purely-elizabeth-double-chocolate-cookie-granola-11-oz
40043227,items_38318-40043227,Purely Elizabeth Double Chocolate Cookie Granola,purely elizabeth,9 oz,,,https://www.instacart.com/products/40043227-purely-elizabeth-double-chocolate-cookie-granola-9-0-oz,40043227-purely-elizabeth-double-chocolate-cookie-granola-9-0-oz
20110810,items_8574-20110810,Purely Elizabeth Grain-Free Recipe No. 12 Vanilla Almond Butter Nut Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/20110810-purely-elizabeth-granola-clusters-grain-free-vanilla-almond-butter-mct-oil-8-oz,20110810-purely-elizabeth-granola-clusters-grain-free-vanilla-almond-butter-mct-oil-8-oz
24981757,items_42728-24981757,"Purely Elizabeth Grain-Free, Keto Apple Walnut Granola",purely elizabeth,8 oz,,,https://www.instacart.com/products/24981757-purely-elizabeth-grain-free-apple-walnut-granola-8-0-oz,24981757-purely-elizabeth-grain-free-apple-walnut-granola-8-0-oz
28174251,items_5128-28174251,Purely Elizabeth Granola,purely elizabeth,24 oz,,,https://www.instacart.com/products/28174251-purely-elizabeth-granola-each,28174251-purely-elizabeth-granola-each
3278422,items_8574-3278422,"Purely Elizabeth Granola, Grain-Free, Coconut Cashew",purely elizabeth,8 oz,,,https://www.instacart.com/products/3278422-purely-elizabeth-grain-free-granola-coconut-cashew-8-oz,3278422-purely-elizabeth-grain-free-granola-coconut-cashew-8-oz
22199315,items_25677-22199315,Purely Elizabeth Honey Almond Probiotic Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/22199315-purely-elizabeth-honey-almond-probiotic-granola-probiotics-8-0-oz,22199315-purely-elizabeth-honey-almond-probiotic-granola-probiotics-8-0-oz
27926468,items_8574-27926468,Purely Elizabeth Honey Peanut Butter Superfood Cereal,purely elizabeth,11 oz,,,https://www.instacart.com/products/27926468-purely-elizabeth-honey-peanut-butter-superfood-cereal,27926468-purely-elizabeth-honey-peanut-butter-superfood-cereal
17632106,items_34057-17632106,"Purely Elizabeth Maple Almond Butter, Ancient Grain Granola",purely elizabeth,10 oz,,,https://www.instacart.com/products/17632106-purely-elizabeth-ancient-grain-granola-maple-almond-butter-10-oz,17632106-purely-elizabeth-ancient-grain-granola-maple-almond-butter-10-oz
107049605,items_25677-107049605,Purely Elizabeth Maple Cinnamon Roll Protein Instant Oatmeal,purely elizabeth,2 oz,,,https://www.instacart.com/products/107049605-purely-elizabeth-maple-cinnamon-roll-protein-oatmeal-cup-2-oz,107049605-purely-elizabeth-maple-cinnamon-roll-protein-oatmeal-cup-2-oz
41662624,items_8574-41662624,Purely Elizabeth Oatmeal Raisin Cookie Granola,purely elizabeth,11 oz,,,https://www.instacart.com/products/41662624-purely-elizabeth-oatmeal-raisin-cookie-granola-1-each,41662624-purely-elizabeth-oatmeal-raisin-cookie-granola-1-each
27218739,items_25677-27218739,Purely Elizabeth Organic Apple Cinnamon Pecan Superfood Oatmeal,purely elizabeth,2 oz,,,https://www.instacart.com/products/27218739-purely-elizabeth-apple-cinnamon-pecan-organic-superfood-oatmeal-2-oz,27218739-purely-elizabeth-apple-cinnamon-pecan-organic-superfood-oatmeal-2-oz
61178641,items_30570-61178641,"Purely Elizabeth Organic Granola, 34 oz",purely elizabeth,34 oz,,,https://www.instacart.com/products/61178641-purely-elizabeth-organic-granola-34-oz,61178641-purely-elizabeth-organic-granola-34-oz
122261417,items_32780-122261417,Purely Elizabeth Organic Original Ancient Grain Granola,purely elizabeth,32 oz,,,https://www.instacart.com/products/122261417-purely-elizabeth-organic-original-ancient-grain-granola-32-oz,122261417-purely-elizabeth-organic-original-ancient-grain-granola-32-oz
135058,items_25677-135058,Purely Elizabeth Organic Original Superfood Oatmeal,purely elizabeth,10 oz,,,https://www.instacart.com/products/135058-purely-elizabeth-superfood-oatmeal-original-10-oz,135058-purely-elizabeth-superfood-oatmeal-original-10-oz
53668,items_8574-53668,Purely Elizabeth Original Ancient Grain Granola,purely elizabeth,12 oz,,,https://www.instacart.com/products/53668-purely-elizabeth-ancient-grain-granola-original-12-oz,53668-purely-elizabeth-ancient-grain-granola-original-12-oz
3301983,items_151204-3301983,"Purely Elizabeth Original Ancient Grain Granola, Organic",purely elizabeth,10 oz,,,https://www.instacart.com/products/3301983-purely-elizabeth-granola-original-ancient-grain-10-oz,3301983-purely-elizabeth-granola-original-ancient-grain-10-oz
55766632,items_8574-55766632,Purely Elizabeth Peanut Butter Cookie Granola,purely elizabeth,11 oz,,,https://www.instacart.com/products/55766632-purely-elizabeth-peanut-butter-recipe-no-37-cookie-granola-11-oz,55766632-purely-elizabeth-peanut-butter-recipe-no-37-cookie-granola-11-oz
3278920,items_8574-3278920,"Purely Elizabeth Probiotic Granola, Grain Free, Chocolate Sea Salt + Probiotics",purely elizabeth,8 oz,,,https://www.instacart.com/products/3278920-purely-elizabeth-probiotic-granola-grain-free-chocolate-sea-salt-probiotics-8-oz,3278920-purely-elizabeth-probiotic-granola-grain-free-chocolate-sea-salt-probiotics-8-oz
109829841,items_38318-109829841,Purely Elizabeth Protein Ancient Grain Almond Butter & Berries Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/109829841-purely-elizabeth-protein-ancient-grain-almond-butter-berries-granola-8-0-oz,109829841-purely-elizabeth-protein-ancient-grain-almond-butter-berries-granola-8-0-oz
105690571,items_38318-105690571,Purely Elizabeth Protein Ancient Grain Cinnamon Toast Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/105690571-purely-eliza-cinnam-8-oz,105690571-purely-eliza-cinnam-8-oz
105690200,items_38318-105690200,Purely Elizabeth Protein Ancient Grain Dark Chocolate Blueberry Granola,purely elizabeth,8 oz,,,https://www.instacart.com/products/105690200-purely-eliza-dark-c-8-oz,105690200-purely-eliza-dark-c-8-oz
75086124,items_8574-75086124,Purely Elizabeth Protein Creamy & Hearty Apple Harvest Crumble Instant Oatmeal,purely elizabeth,8.3 oz,,,https://www.instacart.com/products/75086124-purely-elizabeth-protein-apple-harvest-crumble-instant-oatmeal,75086124-purely-elizabeth-protein-apple-harvest-crumble-instant-oatmeal
74974608,items_8574-74974608,Purely Elizabeth Protein Creamy & Hearty Maple Cinnamon Roll Instant Oatmeal,purely elizabeth,8.3 oz,,,https://www.instacart.com/products/74974608-purz-mplcin-otml-76z,74974608-purz-mplcin-otml-76z
104771,items_34057-104771,Purely Elizabeth Pumpkin Cinnamon Ancient Grain Granola,purely elizabeth,12 oz,,,https://www.instacart.com/products/104771-purely-elizabeth-ancient-grain-granola-pumpkin-cinnamon-12-oz,104771-purely-elizabeth-ancient-grain-granola-pumpkin-cinnamon-12-oz
26804872,items_8574-26804872,Purely Elizabeth Recipe No. 26 Superfood Mixed Berry Instant Oatmeal,purely elizabeth,1.76 oz,,,https://www.instacart.com/products/26804872-purely-elizabeth-mixed-berry-with-prebiotic-fiber-superfood-oatmeal-1-76-oz,26804872-purely-elizabeth-mixed-berry-with-prebiotic-fiber-superfood-oatmeal-1-76-oz
26803455,items_8574-26803455,Purely Elizabeth Recipe No. 27 Superfood Dark Chocolate Chunk Instant Oatmeal,purely elizabeth,1.76 oz,,,https://www.instacart.com/products/26803455-purely-elizabeth-dark-chocolate-chunk-with-prebiotic-fiber-superfood-oatmeal-1-76-oz,26803455-purely-elizabeth-dark-chocolate-chunk-with-prebiotic-fiber-superfood-oatmeal-1-76-oz
55766648,items_151204-55766648,Purely Elizabeth Recipe No. 37 Peanut Butter Cookie Granola,purely elizabeth,9 oz,,,https://www.instacart.com/products/55766648-purely-elizabeth-cookie-granola-peanut-butter-recipe-no-37-9-oz,55766648-purely-elizabeth-cookie-granola-peanut-butter-recipe-no-37-9-oz
41052867,items_38318-41052867,"Purely Elizabeth Superfood Cereal with Vitamin D, Cinnamon Raisin Almond",purely elizabeth,11 oz,,,https://www.instacart.com/products/41052867-purely-elizabeth-cinnamon-raisin-cereal-11-oz,41052867-purely-elizabeth-cinnamon-raisin-cereal-11-oz
25144880,items_151204-25144880,"Purely Elizabeth Vanilla Chocolate Chip, Ancient Grain Granola",purely elizabeth,10 oz,,,https://www.instacart.com/products/25144880-purely-elizabeth-vanilla-chocolate-chip-ancient-grain-granola-10-oz,25144880-purely-elizabeth-vanilla-chocolate-chip-ancient-grain-granola-10-oz
24982168,items_34057-24982168,"Purely Elizabeth Vanilla Chocolate Chip, Ancient Grain Granola",purely elizabeth,12 oz,,,https://www.instacart.com/products/24982168-purely-elizabeth-ancient-grain-vanilla-chocolate-chip-granola-12-0-oz,24982168-purely-elizabeth-ancient-grain-vanilla-chocolate-chip-granola-12-0-oz
21850029,items_144871-21850029,Purely Elizabeth Vanilla Pecan Collagen Protein Oats,purely elizabeth,8 oz,,,https://www.instacart.com/products/21850029-purely-elizabeth-collagen-protein-oats-vanilla-pecan-8-oz,21850029-purely-elizabeth-collagen-protein-oats-vanilla-pecan-8-oz
20114795,items_25677-20114795,Purely Elizabeth Vanilla Pecan Superfood Oatmeal With Collagen,purely elizabeth,2 oz,,,https://www.instacart.com/products/20114795-purely-elizabeth-collagen-protein-oats-vanilla-pecan-2-oz,20114795-purely-elizabeth-collagen-protein-oats-vanilla-pecan-2-oz
27924696,items_138385-27924696,Purely Elizabeth® Vanilla Blueberry Almond Cereal,purely elizabeth,11 oz,,,https://www.instacart.com/products/27924696-purely-elizabeth-vanilla-blueberry-almond-cereal-11-oz,27924696-purely-elizabeth-vanilla-blueberry-almond-cereal-11-oz
